"Entity","Code","Year","Per_capita_plastic_waste_kg_person_day_","GDP_per_capita","Population","Continent"
"Afghanistan","AFG",2010,NA,1957.02905273438,28189672,"Asia"
"Africa","",2010,NA,NA,1055233717,""
"Albania","ALB",2010,0.069,10749.4814453125,2913402,"Europe"
"Algeria","DZA",2010,0.144,10970.6923828125,35856348,"Africa"
"American Samoa","ASM",2010,NA,NA,54871,"Oceania"
"Andorra","AND",2010,NA,NA,71542,"Europe"
"Angola","AGO",2010,0.062,7692.43408203125,23364196,"Africa"
"Anguilla","AIA",2010,0.252,NA,13192,"North America"
"Antigua and Barbuda","ATG",2010,0.66,18206.015625,85710,"North America"
"Argentina","ARG",2010,0.183,23521.26953125,41100124,"South America"
"Armenia","ARM",2010,NA,9286.197265625,2946296,"Asia"
"Aruba","ABW",2010,0.252,34343.15234375,100354,"North America"
"Asia","",2010,NA,NA,4220041467,""
"Australia","AUS",2010,0.112,44914.98046875,22019166,"Oceania"
"Austria","AUT",2010,NA,51843.4296875,8362829,"Europe"
"Azerbaijan","AZE",2010,NA,14082.23828125,9237203,"Asia"
"Bahamas","BHS",2010,0.39,36547.4296875,373277,"North America"
"Bahrain","BHR",2010,0.132,44599.8046875,1213655,"Asia"
"Bangladesh","BGD",2010,0.034,2883.466796875,148391136,"Asia"
"Barbados","BRB",2010,0.57,15596.6171875,274717,"North America"
"Belarus","BLR",2010,NA,17300.703125,9731426,"Europe"
"Belgium","BEL",2010,0.08,47972.55859375,10877948,"Europe"
"Belize","BLZ",2010,0.172,7294.6630859375,322115,"North America"
"Benin","BEN",2010,0.043,2704.70556640625,9445716,"Africa"
"Bermuda","BMU",2010,0.252,88399.9140625,63466,"North America"
"Bhutan","BTN",2010,NA,8190.576171875,705523,"Asia"
"Bolivia","BOL",2010,NA,6612.80322265625,10223277,"South America"
"Bonaire Sint Eustatius and Saba","BES",2010,NA,NA,20245,"North America"
"Bosnia and Herzegovina","BIH",2010,0.144,10938.2890625,3811093,"Europe"
"Botswana","BWA",2010,NA,13126.21484375,2091666,"Africa"
"Brazil","BRA",2010,0.165,14873.2080078125,196353504,"South America"
"British Virgin Islands","VGB",2010,0.252,NA,27578,"North America"
"Brunei","BRN",2010,0.026,67753.421875,396064,"Asia"
"Bulgaria","BGR",2010,0.154,18160.607421875,7592271,"Europe"
"Burkina Faso","BFA",2010,NA,1716.35827636719,16116851,"Africa"
"Burundi","BDI",2010,NA,846.169128417969,9126612,"Africa"
