Entity,Plastic,Year,Decomposition
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Disposable diaper,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Fishing line,Yes,2018,50
Foamed buoy,Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic beverage holder (six-rings),Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Plastic bottle,Yes,2018,50
Syrofoam cup,Yes,2018,50
