"Country","Variable","Year","Unit","Value","Flag.Codes","Flags"
"Australia","Municipal waste generated",2010,"Tonnes",13560.506,"",""
"Australia","Municipal waste generated",2011,"Tonnes",13472.495,"",""
"Australia","Municipal waste generated",2012,"Tonnes",13572.33,"E","Estimated value"
"Australia","Municipal waste generated",2013,"Tonnes",13694.67,"E","Estimated value"
"Australia","Municipal waste generated",2014,"Tonnes",13789.384,"",""
"Australia","Municipal waste generated",2015,"Tonnes",13964.23,"",""
"Australia","Municipal waste generated",2016,"Tonnes",13019.29,"",""
"Australia","Municipal waste generated",2017,"Tonnes",12605.342,"",""
"Australia","Municipal waste generated",2018,"Tonnes",12641.478,"",""
"Australia","Municipal waste generated",2019,"Tonnes",12571.73,"",""
"Australia","Municipal waste treated",2010,"Tonnes",12703.608,"",""
"Australia","Municipal waste treated",2011,"Tonnes",12554.774,"",""
"Australia","Municipal waste treated",2012,"Tonnes",12474.39,"E","Estimated value"
"Australia","Municipal waste treated",2013,"Tonnes",12532.96,"E","Estimated value"
"Australia","Municipal waste treated",2014,"Tonnes",12625.603,"",""
"Australia","Municipal waste treated",2015,"Tonnes",12737.772,"",""
"Australia","Municipal waste treated",2016,"Tonnes",11739.04,"",""
"Australia","Municipal waste treated",2017,"Tonnes",11359.164,"",""
"Australia","Municipal waste treated",2018,"Tonnes",11402.207,"",""
"Australia","Municipal waste treated",2019,"Tonnes",11479.022,"",""
"Austria","Municipal waste generated",2010,"Tonnes",4700.8,"",""
"Austria","Municipal waste generated",2011,"Tonnes",4806.9,"",""
"Austria","Municipal waste generated",2012,"Tonnes",4883.3,"",""
"Austria","Municipal waste generated",2013,"Tonnes",4905.2,"",""
"Austria","Municipal waste generated",2014,"Tonnes",4832.5,"",""
"Austria","Municipal waste generated",2015,"Tonnes",4836,"",""
"Austria","Municipal waste generated",2016,"Tonnes",4928.4,"",""
"Austria","Municipal waste generated",2017,"Tonnes",5017.6,"",""
"Austria","Municipal waste generated",2018,"Tonnes",5119,"",""
"Austria","Municipal waste generated",2019,"Tonnes",5220.28,"E","Estimated value"
"Austria","Municipal waste treated",2010,"Tonnes",4581.7,"",""
"Austria","Municipal waste treated",2011,"Tonnes",4631.7,"",""
"Austria","Municipal waste treated",2012,"Tonnes",4718.2,"",""
"Austria","Municipal waste treated",2013,"Tonnes",4743.5,"",""
"Austria","Municipal waste treated",2014,"Tonnes",4673.2,"",""
"Austria","Municipal waste treated",2015,"Tonnes",4727.8,"",""
"Austria","Municipal waste treated",2016,"Tonnes",4825.2,"",""
"Austria","Municipal waste treated",2017,"Tonnes",4944.1,"",""
"Austria","Municipal waste treated",2018,"Tonnes",5041,"",""
"Austria","Municipal waste treated",2019,"Tonnes",5148.97,"E","Estimated value"
"Belgium","Municipal waste generated",2010,"Tonnes",4971.958,"",""
"Belgium","Municipal waste generated",2011,"Tonnes",5022.778,"",""
"Belgium","Municipal waste generated",2012,"Tonnes",4944.256,"",""
"Belgium","Municipal waste generated",2013,"Tonnes",4867.073,"",""
"Belgium","Municipal waste generated",2014,"Tonnes",4762.003,"",""
"Belgium","Municipal waste generated",2015,"Tonnes",4642.623,"",""
"Belgium","Municipal waste generated",2016,"Tonnes",4745.78,"",""
"Belgium","Municipal waste generated",2017,"Tonnes",4671.868,"",""
"Belgium","Municipal waste generated",2018,"Tonnes",4677.385,"",""
"Belgium","Municipal waste generated",2019,"Tonnes",4779.342,"",""
"Belgium","Municipal waste generated",2020,"Tonnes",4799.862,"",""
"Belgium","Municipal waste treated",2010,"Tonnes",4810.478,"",""
"Belgium","Municipal waste treated",2011,"Tonnes",4843.525,"",""
"Belgium","Municipal waste treated",2012,"Tonnes",4787.259,"",""
"Belgium","Municipal waste treated",2013,"Tonnes",4811.367,"",""
"Belgium","Municipal waste treated",2014,"Tonnes",4755.096,"",""
"Belgium","Municipal waste treated",2015,"Tonnes",4643.422,"",""
"Belgium","Municipal waste treated",2016,"Tonnes",4752.087,"",""
"Belgium","Municipal waste treated",2017,"Tonnes",4632.379,"",""
"Belgium","Municipal waste treated",2018,"Tonnes",4677.387,"",""
"Belgium","Municipal waste treated",2019,"Tonnes",4778.674,"",""
"Belgium","Municipal waste treated",2020,"Tonnes",4799.862,"",""
"Canada","Municipal waste treated",2010,"Tonnes",33048.534,"",""
"Canada","Municipal waste treated",2012,"Tonnes",33146.119,"",""
"Canada","Municipal waste treated",2014,"Tonnes",33841.486,"",""
"Canada","Municipal waste treated",2016,"Tonnes",34215.827,"",""
"Canada","Municipal waste treated",2018,"Tonnes",35550.627,"",""
